제목,본문
추가 강아지 수술비 어떡하죠,결혼년 아이없는 부부예요거두절미하고 남편 사업이 시국탓에 큰위기에 처했고저는  정도버는 직장인이고 적금등으로 모은돈은 벌써 남편한테 들어가서 급한불만 끈 상태예요현재는 제월급으로 간신히 먹고만살아요결혼직후 강아지한마리 입양해서 키우고있는데지금 아픈상태라 수술을 해야하는데 벌써 검사비만 만원 나오고 수술비만 정도 나온다네요 이것도 차수술비용이고 차에 차까지 하게될수도 있다네요거의 천만원돈 예상해야하죠형편 좋았을때는 아무렇지도 않았을비용이 지금은 검사비만으로도 허덕일 정도가되니 남편도 그렇고 저도 너무 막막할지경입니다남편은 입양을 생각하고있는데 강아지가 입양할당시 이미 나이가 살정도로 추정된다 했으니 지금은 살정도 나이를 많이 먹은 상태이고 많이 아픈상태라 입양이 될지 모르겠어요지금은 약값에 이미 만원 썼고 검사비및 추가진료비등으로 정도 들어갔어요본격적인 치료는 시작도 하기전인데 벌써 만원 남편도 사업때문에 매일 얼굴도 시커매져서 귀가하고 사실 남편은 현재 강아지 신경도 못써주고 저보고 알아서 하란 입장입니다사실 남편도 너무안쓰러워서 저는 이상황에 불만조차 내색하지 못하고 제가 알아서 해야될거 같아요대출도 생각했지만 현재는 대출조차도 힘이든 상태예요 다들아시겠지만좋은가정에 입양이 됐으면 싶긴한데 입양될지 여부도 알수가없고심적으로 너무힘이 드네요추가글씁니다저희남편이 사업을 확장시킬때쯤 코로나가 딱터졌고조금 무리해서 벌린만큼 손실이 큰상태였어요결혼시작때 시댁에서 빌라가지고 계신거 남편명의로 해주셔서 쭉 살았고 사업때문에 빌라도 처분해서 지금 짜리 반전세 살아요 빌라처분해서 그것도 사업자금으로 다들어갔구요강아지적금도 안들고 뭐했냔 댓글강아지가 나이가 좀있는상태에서 데려온만큼 일정액 적금붓고 있었고 그돈이 천쯤 됐어요그동안은 강아지가 별탈없이 지내줘서 제월급으로 강아지 적금 제적금 다 가능했고 강아지한테 드는 기타비용은 남편이 내왔구요그러다가 상황이 안되니 그거 다털고 다 사업자금으로 들어간거구요 대략 제 개인돈만 천만원 들어갔어요밑빠진독에 물붓기라도 정말 지불해야할 대금만으로도 버거울지경인데 안줄수가 없었죠그외에도 빚이 많은상태구요반전세집으로 이사온지금 월세에 이것저것 숨만쉬어도 돈이줄줄이라 걱정이 커서 글써본거예요사실 무지개다리 건널때까지 그냥 데리고 있어라 이런글 너무가슴아파요 죽는걸 지켜보고있을수밖에 없다는게혹시 방법있나하고 글올려봤는데 욕을 많이 먹네요이런상황올줄알았으면 당연히 안키웠죠저도 강아지 키워왔고 얼마나 돈이드는지 그런거 잘알죠 당연히어쨌든 더 고민하고 생각해서 최선을 다할거예요관심감사드려요
울 아빠 같은 남자 명절에 보니 더 멋진 듯,일단 울집은 큰집에 모여서 하는 제사같은거 없어진지 오래임 이유는 엄마가 힘들어서 울 아빠가 형제들 중 유일한 남자라서 나 어릴때는 항상 우리집에서 제사 지냈는데 어느순간 사라짐 아빠가 엄마 힘들다고 고모들하고 이야기해서 그냥 각자집에서 조그맣게 제사 지내는중 그리고 우리 할머니께서 살아계실 때 항상 하시던 말씀이 제사음식도 결국 사람먹으려고 하는거니까 늬들이 먹을만큼만 하라했음어제 저녁에 가족들이랑 다같이 티비보고 새벽에 잠들었음 나는 대학때문에 다른데 살다가 올해 어엄청 오랜만에 집에서 명절 보내는건데 아침에 일어나니까 거의 시였음 근데 밖에서 떠드는 소리랑 티비소리 들리길래 뭐지 했는데 아빠가 제사음식 다 만들고 사실 대부분은 반찬가게에서 구매 국이랑 밥 그리고 몇가지 반찬들은 아빠가 다 함 오빠한테 과일 깎는거 시키고있었음 그러더니 이런건 장손이 하는거다라고 함 엄마랑 나는 일부러 안깨운거였음 울아빠 너무 좋다 어제도 밤까는거 오빠한테만 시키고 나는 이번에 요리에 손도 안댐 엄마는 장만 보고 아빠같은 남자랑 결혼하고싶다
추가 며느리 못 먹는 음식만 하는 시 어머니,댓글 잘 읽어봤어요제가 못 먹는 음식을 안써놔서 다들 궁금해하시는데그 음식은 곱창이에요상황 설명을 더 드리면곱창구이랑 곱창전골을 한가득하고 계셨어요인 식탁위에 버너 개 놓고요구이 전용 자동냄비는 이번에 구매당면넣는다고 큰 그릇에 불린것까지 식탁위에 있었어요더 이상 반찬 올릴 공간도 없었고곱창구이에서 나오는 누린내  곱창전골의 매운내가 온 집안에서 나기 시작했고 저는 아기들도 걱정되고 냄새도 너무 싫었고요식탁위에 올려놓은 반찬은 배추김치 하나였어요시댁은 장사를 해서 집에서는 밥을 안해먹어요제사도 안지내고 반찬을 추가로 만들수 있는 재료도 없었고시골이라 배달 시킬수 있는곳도 한정적이고 명절이라 여는곳도 많지 않았고요저는 추석이 생일인 사람이라 더 서운하게 느꼈어요케익은 커녕 미역국도 없는 상황이였는데 김치랑 밥만아기들꺼는 제가 만들어서 갔는데 가지고 간거랑 조금 먹다 말았네요친정에서는 사위 좋아하는거 위주로 차려주는데시댁에서는 아들 좋아하는것만드라마보다 더 드라마같은 제 시월드에요결혼식 일전 이바지음식 요청  남편이 답바지도 해줄꺼냐고 하니 하지말자고 하심기독교로 종교강요  남편이 조기축구팀이라 거절함전화 기본 시간  지금은 안받음  손주 영상통화 며느리가 하면 분 아들은 분아들 팔 아프니 끊으라 하심  그 뒤로 전화 안함휴무일에 아들집 불쑥 찾아오셔서 저녁까지 먹고 가심애 보느라 밥 못 먹는 며느리는 아웃오브안중폰 만지고 트름하며 잘 먹었다하심아이 봐줄테니 밥 먹어라 절대 안해줌 오지말라고 해도 찾아와서 벨 누름신혼여행 갔다와서 인사갔는데 김장하고 계셨고매 년 친구들이랑 하는 김장에 며느리만 부름 김치 한포기도 안가져다 먹음 그래서 안감이래도 저는 심보 고약한 며느리인거죠심보가 고약해질수 밖에 없는 며느리 아닐까요어떤 배우 인터뷰 했던 말이 떠오르네요시댁은 남인데 이정도면 잘해준다 생각하면 편하다고요많은분들이 시간 내서 충고해주신덕에 번 당하고서 정신 차렸습니다감사합니다일부러 그러시는거죠제가 못 먹는 음식이 있어요시댁식구들이랑 남편 모두 그 음식을 좋아하는데요지난번에 임신해서 갔는데 그 음식을 하고 계셔서 남편이 시어머니한테 엄청 머라고 했고 저도 안먹는다고 개정색하고 나왔어요그 때도 그 음식 제가 못 먹는거 알면서 준비 하셨던거에요임신한 며느리보다 자기 아들이 중요했겠죠그런데 이번 명절에도 그 음식 하려고 조리도구까지 구매하셔서 하고 계시더라고요 전 안먹는다고 거실에서 아기 보고 있었어요그랬더니 남편놈은 옆에서 이번 기회에 먹어보는거 어떠냐는 개소리 하길래 너나 많이 먹으라고 째려보며 말하니 분위기 싸해졌네요저처럼 이렇게 당한 며느리 있으신분진짜 시댁 너무 싫으네요
명절에 이 혼하는 이유,공감하면 추천
영국 남자 학생회장 아르망,사진은 너무 개인적인 사진은 얘네들도 일반인인데 지켜줘야 할 것 같아서 학생회 트위터에 올려진 동영상 캡쳐본으로 올릴겝  아르망 웃는 모습이 시원시원해서 넘 보기 좋음이건 약간 줌 하는데 내가 열심히 발표하는걸 들으면서 흐뭇하게 미소짓는 것 같움다른 쓰니가 매일매일 아르망 올려주는것도 꼬박꼬박 챙겨보고 있더 드디어 내일 영국남자 영상 올라오는데 풀햄남고 애들 나올까  
내 기준 팀 분위기 비슷한 남돌들,걍 간잽하고 다니는데 느낀거엑소몬엑엔시티더보이즈  쾌남들 모여있는거 같은 그룹들엔드림투바투  자기들끼리 옹기종기 모여서 잘 노는 느낌세븐틴비투비  웃기기도 하고 왁자지껄한 분위기 예능도 잘함 
밥 먹다가 아가씨한테 들은 말, 
중국인들에게 선물하면 안 되는 세가지, 
스우파 원트 이채 연 왕따 논란 뭔데 ,역대급 억까  지들끼리 생난리임다른 장면들 보면 원트 멤버들이 위로해 주고 서로 친해 보이던데 역시 틱톡은 걸러야 되나 
대 여성의 치킨 리뷰, 
 하 내 화장 뭐가 문제인 걸까 ,고 나 진짜 화장하는법을 모르겠어나 진짜 저거 이사배님 영상보면서 열심히 따라한건데 마스카라는 다 번지고 섀도우도 바르니까 누래지고 진짜 컨셉이아니라  얘들아 제발 도와줘원래 생얼로 다녔어서 화장하는법 이 나이먹고도 몰라화장 틴트 뷰티톡 얘들아 너네 말 따라서 마스카라 아이라인 안 하고 음영만 했어 이건 그나마 괜찮아   
나재민 셀카 드럽게 못 찍는다,아니 이 얼굴을 가지고 왜 그러는 거야이해가 안 돼조카오세훈 생각나 
엔시티즌이랑 아미들 싸우는 거 어이없는 게 ,시티즌들이 허구한 날 방탄 조롱하고 선 넘는 워딩에 아미한테 시비 걸고 다니는데 거기에 좀만 받아치면 바로 암이 어쩌구저쩌구  하는 거  웃김 로 타팬인데 엔시티즌들 하고 다니는 꼬라지 보면 어이 없음 타팬들한테 시비 걸고 똘추짓하고 다니는 거 보면 솔직히 아미는 거의 없고 죄다 시티즌이던데 그런 거 보면 내로남불 개오짐이건 타팬인증임온도도
살 아이에게 삼각 김밥 먹이면 안 되나요,오늘 어린이대공원 놀러갔다오면서 아이가 먹은 내용들입니다아침에 일어나서 와이프가 시리얼이랑 빵에 쨈이랑 땅콩버터발라서 아침주고중간에 사과먹이고 어린이대공원 놀러가서 점심에 김밥이랑 돈까스 짜장 먹이고간식으로 젤리사주고 뽀로로 음료수 사이다 솜사탕 츄러스 팝콘은 제가 사줬습니다그리고 파하고 집에 도착하면 시쯤 되면밥먹이기 애매해서 차타고 오는길에 간단하게 삼각김밥이나먹어야 하나 싶어서 운전하면서차타고 가면서 삼각김밥 사먹이면 어떨까라고 얘기했더니어떻게 살 아이한테 삼각김밥을 먹일 생각을 하냐고 그건 대한민국사람들 다 아는 거라고저한테 면박을 주던데도무지 이해가 안가서 다른분들께 여쭈어 봅니다 제가 뭔 잘못을 한건가요 
시우민 진짜 뭐냐,이목구비 개찐하네 무쌍 아니야 
김판녀 쪼꼬미 시절 패션,울엄마 감각 와저러노  
콜플이 원래 방탄한 테 곡주려고 했대,픽스유 커버보고 곡주려고 했나봐 
장원영은 좋겠다 재벌들이 팔로우도 했네,재벌 명이나 장원영 팔로우했네 어린나이에 명품조공 다 받고 재벌들이 팔로우하고 졸라이뿌고 요정같고 역시 월클 
현실적으로 여자 살 이 나이가 많은 건가요,적은나이가 아니란건 이미 알고 있지만 직장에서도 남자상사들이 살 애들이랑 비교하면서 넌 왜이렇게 나이가 많냐 이런 농담하기도 하고 살 까지만 해도 전혀 경험하지 못했는데 어디가서 나이 말하면 나이많다는 식이네요요즘 대 중후반에도 결혼 많이들 하던데 살 아직 초반인데 나이가 많은건가요여기는 맹목적으로 넘으면 끝이다 이렇게 말하는 남자분들이 좀 보이던데 그런건 그냥 걸러 들을게요현실적으로 살이 결혼연애 시장에서 어떻게 보이는지 궁금하네요외모는 으로 대부분 보고 객관적으로 꿀리지 않습니다안정적인 직장 다니구요그냥 평범한 시민으로 살아가고 있어요정말 대 남자들 살 여자면 나이 많아서 기피하기 시작하나요 아무리 동안이고 이뻐도케바케다 이런 애매한 답변 말고 평균적인 현실적 답변 부탁드려요
요즘 예쁘다고 생각하는 여 돌 누구 잇어,난 진짜 아이사 너무 사랑해 와기고양이 
허니제이가 엔시티가 스우파 따라 한 거 알티함 , 아  
얘는 진짜 대학 합격할 듯 ,현역으로 대학 가보자고 
미쳐 날뛰는 중국 방송, 
남돌 날티짤,남돌 날티짤 좀 풀어줘 뭔 그룹이든 다 좋아 약간 이런 느낌 짤들은 그냥 내 취향들 주운거방탄 더보이즈 엔시티 투바투 엑소 엔하이픈 온앤오프 위너
슈가가 말 한 명절 음식 아는 사람 별로 없을 듯,요즘 지방이랑 수도권 얘기 많이 나오던데 뭔가 같은 한국에 사는데 차이점 많아서 재밌더라방탄에 슈가가 대구에 탕국 얘기해서 참고로 난 경상도인인데 우리 지역에서는 탕국에 두부 오징어 새우 소고기 들어가거든 다른 지역은 어때  서울이나 경기도는 탕국 안 먹을꺼 같기도 하고  잘 모르겠당그리고 육전 밑에 지방만 먹는다는 얘기 있던데 확실하진 않지만 너무 신기하더라  밑에 내려가면 냉면집에 육전 있는 거 기본이어서 모든 냉면집에 있는 줄  
오징어 게임 왜 봄,한남들은 집게손가락만 보여도 발작하는데 여자들은 저런 여혐드라마보고도 왜 가만히있냐여남바꼈으면 한남들 시청자게시판에 항의하고 남혐이라 발광하고 사과문올리게했을듯
이 거 로제 표절한 거 아님, 
몬엑 왜 짐승돌 같은 이미지였던 거야,옛날 무대보면 셔누랑 원호빼고는 거의 다 개말라던데 왜 그랬던거야 진짜 그냥 궁금해서댓글 달아준 애들 고마워 덕분에 몬베베됐어 
로잘린 도 홈마 생김, 
에이티즈 축하해,에이티즈 위 축하해데자부라보산이가 소원이였던 빌보드 차트도 너무너무 축하하고 우리답게 천천히 커가자 평생 행복하기  에이티즈 에이티니 
한국 올림픽 선수 도시락이 부러웠던 미국, 
근데 예리 이 거 무슨 의 미냐,제트썬이 걸려서 뒤로 넘어지자마자 뒤로 고개돌려서 저 손짓 하던데 넘어진거 잘 보라는건가 저 손짓을 왜한거지 저 의도면 아이키가 가비 신발에 걸려서 바지 안벗겨진거 도와준거랑 비교된다 
이거 보니까 하연수가 아이돌상 같고 예리가 배우상 같음,발캡이긴 한데 
나 빅 히트 욕해서 정지 먹음,뭐임  
장원영 실물 궁금기자들이  예쁘다던 데,한번만 보고싶당  
여자도  리터 생수 통 들어서 끼울 수 있나요,냉온수가 위에 거꾸로 꼿힌 파란 생수통 동그란거 큰거 그거요힘없어서 못한다고 하는데 그거 내숭인가요 아니면 진짜로 할수 있는데 힘쓰기 싫고 그래서 안하는건가요정말 궁금함꼭 남자 시키더라구요지네들이 할수 있을거 같은데 
다이어트 시작 하루 전 두둥,안녕 내일부터 다이어트를 시작하려고해지금까지 다이어트를 꽤 많이 해왔지만 처음으로 키로를 찍고서 이렇게 살면 당뇨나 여러 고질병이 올 것 같아 맘먹고 요가 학원을 등록했어일단 나는 년 전 한달 반 동안 식단 운동 빡세게 해서 키로에서 까지 뺏다가 한 까지 찌고 유지하고 있는 와중 연애시작하고 까지 쪘어키로 때 몸의 가벼움과 옷의 핏을 알기 때문에 거울 볼때마다 자괴감도 오고 자존감이 낮아지더라  다이어트를 조용히 해도 되지만 내 자신이 끈기가 좀 부족한 걸 알기 때문에 공공연하게 알리면서 해야 책임감이 더 생길 것 같아 이렇게 글쓰게 되었어매일매일 식단이나 운동을 일기 쓰듯이 올리려고 해혹시 지나가다 보면 피드백이나 응원 부탁해화이팅 
수진 핑계로 아이들 후려치는 뉘앙스,수진 플로우 타면 은근히 아이들까지 머리채 잡는 거 자주 보여서 왜 저렇게 까나 하고 멤버들 브이앱 영상 유튜브에서 찾아보다가 입덕 직전임 언니들한테 버럭댄다고 여기서 슈화 전부터 까서 봤는데 그냥 귀여운데 아무튼 여자아이들 노래 타이틀 유명한 거 말고 사람들 잘 모르는 거로 추천 좀 해주고 가
제일 소름돋는 거 알려줄까,년까지 일 남음 일 중에 일이나 지났어 에 이어서 도 코로나때문에 너무 빨리 지나간거같다 서치추석 설 연휴 계획 신년 수능 고  코로나 코로롱  대학 장원영 카리나 제니 아린 블랙핑크 방탄소년단  오마이걸 아이즈원 김민주 안유진 스테이씨 에스파 윈터 지젤 닝닝 네이트판 정병 논란 대판 톡톡 톡선 헐 이제 봤는데 톡선이랑 실베 뭐냐 다들 남은 일이라도 알차게쓰자
제왑 여돌이 유독 여적 여 안 당하는 듯,제니나 카리나 주간 톡선 까글 주기적으로 올라오고 맨날 까이고 아이즈원 멤별로 돌아가며 장원영 김민주 까이고 하는데트와이스 까글만 근년간 한번도 못봄있지는 학폭 터져도 까글도 그닥없고 연차 많이 된 레벨 아이린보다도 안까이고 관심 없음하다못해 중소인 아린보다도 관심 못받는게 제왑여돌들인듯제왑 알바들 힘인가트와이스 블랙핑크 오마이걸 스테이씨 에스파 레드벨벳 조이 제니 지수 로제 리사 카리나 윈터 슬기 예리
요즘 여자들 비혼 이유,역시 비혼이 답공감하면 추천
 스우파 언급,태용 제외한  애들은 스우파 언급 잘 안하길래 안보나 했는데   쓸데없는 생각이었네 태용 까들도 멤버들이 스우파 언급 안한다고 버려졌다  하던데 언급을 할 필요가 없었던거임 그들 자체가 스우파기때문에
문과가 이과대회에서 상받는 거 킹 받아,과학토론대회에서 이번에 내가 은상 받았는데 이과애들한테 욕 쳐먹었어 이게 왜 내 잘못이야  학년때 통합과학 등급 맞은거 만회해야하고 지망하는 학과도 문이과 교차지원돼서 생기부에 도움돼서 참여한건데 문과한테 발리니까 화났나 아니 개억울해 화장 틴트 뷰티톡과학하고 관련있는 학과 지망이라 참여한거임학기 당 하나인거 알고 딱 과학대화 상만받고 나머지는 아예 안나갔음 
체력이 안 좋아요,예전에 헌혈하러갔을때 철분이없다고 헌혈도 못햇엇거든요항상 보는 사람마다 아파 보인다 피곤하냐 얼굴에 핏기가 없다라고해요 근데 마르진 않고 통통하고 잘먹고 잘쪄요그리고 게속 고개숙이고 서서 일하면 머리가 띵하고 울렁거려요 패러글라이딩 탈때도 회전할때 토할뻔함하루 일하면 입이 바짝마르고 피곤해서 누워서 한시간 자줘야해요집에선 거의 누워잇고요 좀만걸으면 핵헥대서 집순이에여아직애는 없고요 어제 시댁식구들하고 낚시하러갔는데한시간후 전 피곤해서 먼저 집갓어요 집근방이라집에서 한시간 반정도 낮잠잠구리고 두시간후 남편이 왓는데 시부모님이 너걱정하더라 핏기가 하나도 없고 아파보인다고 첨본사람마다 들엇던 말이라 무덤덤햇죠그러더니 남편이 병원가서 검사나 해볼래  라는거임그리고 운동좀하라는데 전 운동 극도로 싫어해서 엄두가 안나더라고요 
니 등록금 니가 내라는 부모가  한심한 이유,애를 그냥 살부터 돈돈돈 하는 병신으로 만든다는 거임등록금이 적어도 한 학기 인데 물론 알바하고 절약하면 못 낼 돈은 아니지근데 대학 년을 수업 알바 집으로 채우는 게 맞음동기들은 대외활동이니 어학공부니 자격증이니 배낭여행이니돈 주고 못 사는 경험을 하고 자기 스펙포트폴리오만드는 동안등록금 내려고 접시 나르고 바코드 찍게 만드는 부모는부모 자격 없는거지자립심이니 뭐니 운운하는거는 자기 무능력한거 인정 못하는더 한심한 부모고 
윈터 이건 진짜 ,동일인물이라는 게 안 믿긴다 진짜 이미지 확확 변하네 예쁜 건 안 변하지만 
오징어 게임이 대체 왜 여 혐임,정주행했는데 여혐 전혀 아닌듯 걍 밑바닥 인생들 모아서 게임한 거고 중간중간 발언들도 쓰레기가 내뱉는 쓰레기 발언이었음 근데 왜 여혐이야주인공 성기훈맨날 도박에 딸 맛있는 거 사줄 돈도 없고 엄마 등골 빼먹는 인생남자를 이따구로 묘사했으니까 남혐임 아니잖아 걍 밑바닥 인생 설정인 거임구슬치기 때 여자들이 양보하고 여자들끼리 우정도 잠깐이지만 보여줬는데 그저 여혐염불 외우는 거 진짜 억까임중간에 며느리 밥상 어쩌고는 지극히 그 나잇대에 구사하는 구시대적인 발언임지금 이거 여혐으로 몰아가는게 손가락으로 발광하는 그 수준까진 아니지만 충분히 꼴볼견임오징어게임 재미 여부를 떠나서 여혐 여혐 좀 그만해라 이거 여혐 아니야 
방탄 제임스 코든,제임스코든이 유엔총회보려고 모인 아미들한테 살짜리 여자애들이라며 조롱하는 트윗올림그동안 파파모찌 하면서 방탄이랑 아미 좋아하는것같아서 같이 좋아했는데 뒷통수맞은느낌버터나왔을때부터 코든쇼 출연안해서 의외라고 생각했는데 종종 프로그램에서 아미언급하길래 스케쥴 안맞아서 그런가보다했음근데 퍼투댄 나오고나서도 지미팰런쇼는 출연하는데 코든쇼는 출연안해서 뭐지 했는데 이런식으로 트윗올린게 그전부터 방탄쪽이랑 뭐가 틀어져서 그런건가 하는 생각도듦  
이태원 사건 때 메 탑 시드 홈마  닫았네 ,추 너무 오바다반 클로즈 할만하다 
전소연 화장  누가 해준 거냐,그 메이크업직원 당장 잘라 
집에서 간단히 오징어 게임 하는 법,준비물 픽스아트 
북한군이 탈북하고 눈이 돌아간 이유,북한 여군이 탈북하고 눈이 돌아간 이유 
미국 탑셀럽 블핑 로 제 반응,저스틴비버 와이프미국 탑모델임로제얼굴보고 바로 알아봄
중국 틱톡에 판 올라옴,중국 틱톡 보는데 판에 올린 글이랑 댓글 저런식으로 번역해서 영상편집해서 올린다  
현실적으로 여자 살 이 나이가 많은 건가요,적은나이가 아니란건 이미 알고 있지만 직장에서도 남자상사들이 살 애들이랑 비교하면서 넌 왜이렇게 나이가 많냐 이런 농담하기도 하고 살 까지만 해도 전혀 경험하지 못했는데 어디가서 나이 말하면 나이많다는 식이네요요즘 대 중후반에도 결혼 많이들 하던데 살 아직 초반인데 나이가 많은건가요여기는 맹목적으로 넘으면 끝이다 이렇게 말하는 남자분들이 좀 보이던데 그런건 그냥 걸러 들을게요현실적으로 살이 결혼연애 시장에서 어떻게 보이는지 궁금하네요외모는 으로 대부분 보고 객관적으로 꿀리지 않습니다안정적인 직장 다니구요그냥 평범한 시민으로 살아가고 있어요정말 대 남자들 살 여자면 나이 많아서 기피하기 시작하나요 아무리 동안이고 이뻐도케바케다 이런 애매한 답변 말고 평균적인 현실적 답변 부탁드려요
근데 방탄 한국음방 안 나오는 이 유가 뭐야,슈가가 했던 말 때문이야물론 음방 자체가 프로모차원으로 도는거라 돈도 안되고 힘들지당연히그래도 좀 그렇다 
수진이 유독 욕처 먹는 이 유 ,경란들  아이들삼란  수진일찌감치 여연갤에서 찍힘  지능적 안티 많음논란 터졌을 때 지들끼리 서수진 학폭 관련 기사나 아이들 갤러리 좌표찍고 몰려가서 조작질하는 바람에안그래도 과열된 여론에 기름부어짐논란 터지기 전부터 수진 돼지저금통상이다저 얼굴로 어떻게 연예인 하냐 처럼 극단적 선택 했으면 좋겠다 등등원래 모두까기인 곳이지만 수진한텐 유독 심했음
머글이 뽑은 군 남돌 띵곡,배우 덕질하는 머글 픽 띵곡들  군 순서 아님 걍 생각나는 남돌 순 수록곡이 쫌 더 많은 듯방탄고엽 잡아줘   아우트로 티어   아우트로 윙즈엑소전야 화요일 트라우마 불공평해  엘도라도 엔시티레귤러  내일의 나에게 지금 우리 영웅   세븐틴어쩌나 예쁘다 에이틴 숨이차 우리들의 새벽은 낮보다 뜨겁다 투바투어느날 머리에서 뿔이 자랐다 그냥 괴물을 살려두면 안되는 걸까 와 분의 승강장에서 너를 기다려더보이즈솔티 자각몽  환상고백    몬스타 엑스 슛 아웃 러브 킬러 오 마이 악몽 스키즈신메뉴 끝나지 않을 이야기 부작용 슬럼프 백도어 돌판에서 좋아하는 사람이 딱히 없어서 더 골고루 들은 듯 저 노래들 진짜 다 좋으니까 들어줭 
에스파랑 스테이씨 누가 신인상 받을 거 같냐,어그로 아니고 페북 보다 궁금해서 
에스파 닝닝 데뷔부터 지금까지 티저 변천사,   
잡채 어떻게 만드세요,번 당면을 삶아 찬물에 헹궈 채에 받쳐둔다그리고 이미 야채와 고기를 양념해 볶은곳에다가 물기를 뺀 당면넣고 섞어 내놓는다번 삶은 당면을 후라이팬에 기름 살짝 두르고 미리 볶아놓은 야채와 고기를 넣고 한번 불에 더 볶아서 내놓는다어떤 버전으로 만드시나요 
년 일본 유튜브에서 가장 많이 검색된 한국 남자 아이돌 멤버  ,년 일본 유튜브에서 가장 많이 검색된 한국 남자아이돌 멤버 위 정국방탄소년단위 뷔방탄소년단위 지민방탄소년단위 슈가방탄소년단위 진방탄소년단위 제이홉방탄소년단위 차은우아스트로위 태민샤이니위 백현엑소위 연준투모로우 바이 투게더위 정한세븐틴위 지드래곤빅뱅위 니키엔하이픈위 재현위 태용위 수빈투모로우 바이 투게더위 방탄소년단위 재민위 호시세븐틴위 범규투모로우 바이 투게더위 디오엑소위 승관세븐틴위 육성재비투비위 도영위 민규세븐틴위 해찬위 도겸세븐틴위 종현샤이니위 우지세븐틴위 유노윤호동방신기위 원우세븐틴위 성훈엔하이픈위 마크위 문빈아스트로위 온유샤이니위 조슈아세븐틴위 루카스위 카이엑소위 휴닝카이투모로우 바이 투게더위 런쥔위 방찬스트레이키즈위 민호샤이니위 최강창민동방신기위 찬열엑소위 태현투모로우 바이 투게더위 현진스트레이키즈위 에스쿱스세븐틴위 디노세븐틴위 키샤이니위 라키아스트로 
라면 먹고 갈래 추석 버젼, 
김석진 입국사진 다 초롱초롱해 ,귀여워 
뷔 짤 줍한 건데,재벌집 싸패캐연기 한번만 보고싶다싸패한테 잘생기고 뭐 이딴프레임 씌우는거 싫긴한데 이짤보자마자 찰떡이었음 
제시 쇼터뷰 이번 편 개웃 김 ,제시의 쇼터뷰 재밌어서 항상 챙겨보는데 오늘 에이티즈편 올라왔는데 개웃김  갠적으로 투바투편을 너무 재밌게봐서 보기 전 부터 기대에 가득 차 있었음아니나 다를까 자기소개 첫장면부터 현란하고 정신없음민기님이 순수한 의도로 제시님 클릭해보라 했다가 가슴에 붙어있는 이름표 클릭하면 자기소개 해야됨  단체 응징당함   에이티즈가 혀로 개인기 보여주는데 너무 잘하니까 냅다 여친있냐는 질문해버리는 노빠꾸 제시언니  핫걸게임까지 잘해버리는 에이티즈 신곡 컴백곡 홍보하고 마무리  에이티즈 찐팬인 제시님  항상 가수들한테 리액션 크게 해주고 칭찬 많이 해주시니 팬들이 좋아할 수 밖에 없을듯 제시의 쇼터뷰는 믿고봅니다  시간날 때 한번씩 봐봐에이티즈편 뿐만아니라 다른 편도 짱재미써 영상링크   
태용 진짜 심각하다 일본에서도 인기 없음,백현 태민 일본 인기탑들이랑 슈퍼엠 시켜줬는데도 내리사랑 못받아먹음재현도영정우유타일본멤마크해찬태용은 거의 인기 등 꼴등이구나그래서 판에서만 목숨걸고 줌내영업 하나봐사이비말투 소름돋음 진짜중고나라 사기꾼  막날 초동에 튀었다며그러니 인기가 없지 빠혐와서 맨날 팬보기싫다고 튐 
애굣살 사기꾼 하는 법 알려줄게,애굣살 못그리겠는 애들 그거 스킬없어서 그래 아이브로우 같은 스틱형으로 절대 하지말고 일단 쉐딩 제일 어두운 컬러를 사진처럼 크지않지만 립브러쉬마냥 너무 얇지도않은 살짝 납작한 브러쉬로 애굣살을 슥슥 그려줘 그리고 더 티나게 하고싶으면 쉐딩보다 쉐딩으로 베이스잡고 더 어두운 섀도우로 포인트 그림자를 더 그려 그리고 컨실러를 손등에 덜어서 애굣살 튀어나온부분에 총알 브러쉬같은거 이용해서 발라 컨실러바르는게 좀 어려울수 있음 근데 연습하다보면 너두 할수있어 애굣살 사기꾼단 예외는 애굣살이 진짜 죽어도 없는애들은 안되더라 
와 그럼 여자키가 면 얼마나 작다는 거야,방금 메인에 뜨는 글 보고 왔는데 여자 센치가 그렇게 심각한거였어   우리 지역만 안그러는건가다 남자들 이상형 키 보면 대 좋아하던데 뭐지욕나오네 삶의 의지를 잃었다 신발 
요새 디피나 오징어 게임 같은 넷플 드라마 보면서 느낀 점, 여혐여혐거리면서 헛소리하는 페미들 대사 장면 하나하나 트집잡는 프로불편러들 발광하는거 무시하고 넘치는 자본으로 하고 싶은 컨셉 스토리 맘껏 뽑아내니깐 국내 드라마 퀄이 훨씬 높아지고 재밌어짐 허구한날 소재 상관없이 사랑타령 연애타령하거나 출생의 비밀어쩌구하는 개막장 공중파드라마가 개노잼 틀딱컨텐츠로 보임 
살 빼는 자신만의 꿀팁 좀,내가 에  정도거든다이어트를 해도 내가 의지가 부족한지 자꾸 실패하게 되구근데 이번에는 진짜 한번 맘 독하게 먹고 다이어트 완벽하게 해서남친도 만들고 옷도 이쁜거 입고 할려고 하는뎅혹시 자신의 다이어트 꿀팁이나 이런거 있어제발 알려죠 부탁할겡 
오늘 급식에 블랙 맘마 나옴,블랙맘마 흑미 
