제목,본문,댓글
한강사건 요약, 언론 믿지마 일베를믿어,지능이 딸리는것들이 유튜브 광신하더라대표적인 예 찢파리들 찢긴노공감티브이 광신하잖아저거보면 노인층도 유투브 세뇌 많이 됐구나 싶음진짜 때리고싶운 쌍판이다 이새끼 사업가도 아니고 엠생 백수라더만 일베가 헌국의 중심을 지고 있어요저거보면 노인층도 유투브 세뇌 많이 됐구나 싶음지능이 딸리는것들이 유튜브 광신하더라대표적인 예 찢파리들 찢긴노공감티브이 광신하잖아굳이 이재명박이들 뿐인가 뻑가에 뇌를 의탁한 보리수새끼들이 이재명박이들보다 더 많이 보이더라 경상도에서 올라오신 분들인가 주옥순부대이신가 참 보기 거북하네요 일베가 헌국의 중심을 지고 있어요진짜 때리고싶운 쌍판이다 이새끼 사업가도 아니고 엠생 백수라더만자기 머리로 생각 못하는 찐따 새기들이라는 거지사이언스네 자식들이 벌어다 주는 돈 혹은 나라에서 주는 돈 저런데다 보내주고 그러는 노인들 진짜 불쌍하지도 않다 이제이순간 안방에서 문열고 주무시는부모님들 깰까봐 거실서 입틀어막고 웃음 참느라 뒤지는줄 알았다 유튜브도 그냥 이대로 방치하면 안됨 커뮤니티도 그렇고
그알 한강 감상평,어휴 맞말이다,애비놈 깽판친건 다 잘랐지만 이정도만 해도 어디야고장난 시계도 두 번은 맞는 법이니라트위터가 왠일로 맞말을 요약 잘했네맞말추애비놈 깽판친건 다 잘랐지만 이정도만 해도 어디야헐 애비가 천룡인임천룡인인진 모르겠고 사이코패스같에아이 미친 색기야넌씨눈 소리 자주 듣고 살지트위터가 왠일로 맞말을고장난 시계도 두 번은 맞는 법이니라맞말추 요약 잘했네
오늘자 그알에 나온 유튜브 채널 곳,밀쳐지는 손을 봤다는 분수술용 메스를 휘둘렀다는 분천안함 기부를 본인은 했는데 그알피디는안했단분,오오 저것들이 바로 걸어다니는 쓰레기 하치장이군요수천 떙기고 몇 푼 기부하고 인생 자체가 쇼네신혜식 신의 한수 걔 아님확실안 목격자는 뭐냐목격자 이름이 확실안이냐븅맞춤법이라도 맞게 쓰던가아븅틀닥들한테는 신경안써도 된다맨 아래 남자 유튜버 누구임오오 저것들이 바로 걸어다니는 쓰레기 하치장이군요수천 떙기고 몇 푼 기부하고 인생 자체가 쇼네맨 아래 남자 유튜버 누구임신혜식 신의 한수 걔 아님확실안 목격자는 뭐냐목격자 이름이 확실안이냐븅맞춤법이라도 맞게 쓰던가아븅틀닥들한테는 신경안써도 된다번째 저 기자인지 뭔지는  택시기사가 운전중에도 계속 보던데 한마디 하려다가 참음 재미도 없고 걍 궁시렁거리기만 하던데 라이브에서손석희한테 이말 들은 기자로 유명하지이건 손서키가 맞말했네진짜 
한강실종사건 코난들의 주장이 맞다면 군 아버지는,경찰 매수검찰 매수기자 매수변호사 매수언론 매수 매수편의점 알바 매수낚시꾼 매수그것이 알고싶다 매수그알 범죄심리학자 매수국과수 매수 매수택시기사 매수김상중 매수유일하게 매수못한 사람 유튜버 ,무엇보다 이수정은 지들편일텐데 어떻게 매수했대거 이재용도 감옥가는데저게 다 매수가 되다니근데 저 중에서 매수하기 젤 쉬운게 유튜버임 심지어 아예 유튜브는 걍 돈주고 영상 만들고 조회수 구독자도 뻥튀기 시키는게 가능함 트자코의 난 생각나네 자기들 빼고 모든 인터넷이 최빠한테 먹혔다고 주장했지 매수 성공률 퍼  신급일쎄무엇보다 이수정은 지들편일텐데 어떻게 매수했대트자코의 난 생각나네 자기들 빼고 모든 인터넷이 최빠한테 먹혔다고 주장했지 확실히 최빠에게 먹힌게 맞는거같애양 •▽•거 이재용도 감옥가는데저게 다 매수가 되다니매수 성공률 퍼  신급일쎄소방관도 있어 도근데 저 중에서 매수하기 젤 쉬운게 유튜버임 심지어 아예 유튜브는 걍 돈주고 영상 만들고 조회수 구독자도 뻥튀기 시키는게 가능함  진짜 군이 살해했고 저정도 매수 가능하면 살인청부업자를 찾아서 매수하는게 더 싸고 쉽게 먹혔겠는걸한강 사이버 렉카들 수익 보면 고작 천만원이면 매수할 수 있는데 저런 권력과 재산을 가지고도 냅둔다고 풀매수 코인이야
그알 생방 달리던 모두를 황당하게 한 정민 군 아버지의 말,아들을트로피로 본게 맞네,카이스트 가서 로보트 만든단 아들 억지로 의대 편입 시큰것도 그렇고 제정신인 인간 절대 아니야만들었다는 표현보고 소름끼치더라 평소에 애한테 어케했는지 알 것 같음상환 받을겁니다 짤의 아버지랑 겹쳐보인다 싶더니음 더이상은 노코멘트 해야겠다 앞으로도상환좌가 실패하면그건 아닌거 같음현역 고때부터 의대 지망했는데 떨어졌다고 그리고 반수해서 의대간거라고 함만들었다는 표현보고 소름끼치더라 평소에 애한테 어케했는지 알 것 같음카이스트 가서 로보트 만든단 아들 억지로 의대 편입 시큰것도 그렇고 제정신인 인간 절대 아니야그건 아닌거 같음현역 고때부터 의대 지망했는데 떨어졌다고 그리고 반수해서 의대간거라고 함걍 카이스트 다니게 할걸 어쩌구 한거보면 그것도 강압으로 그렇게 시킨거 아니야 진짜 의대 지원해서 편입 한거라면 저딴소라가 나와선 안돼잖아자기 의지로고인은 카이스트 가고 싶어했음상환 받을겁니다 짤의 아버지랑 겹쳐보인다 싶더니음 더이상은 노코멘트 해야겠다 앞으로도상환좌가 실패하면나도 솔직히 인상이 비슷해보여서초반에 아들이 자신에게 얼마나 소중한 존재였는지 어필하는 시기일때부터 직감하고 있었음저런 부모들 특징이 보통 자신은 자식과 사이가 무지 좋다고 생각함근데 당사자는 절대 그렇게 생각하지 않음근데 자식 입장 대변해줄 수 있는 사람이 이젠 없네나도 그런 류의 부모를 가진 친구 한 명 알고 있는데걔네 부모님이 자식 얘기하는거 들을 때마다 코웃음이 나오더라인간의 가치를 효율성과 생산성에 몰빵한건가그게 중요하긴 한데 과도하면 파시즘이 되는거지자국민 가스실 학살심즈  현실판 스카이캐슬 박영재 부모가 맞았네말조심해야지평소 속마음이 단어에서 튀어나와버리니까
배상훈은 현장경험이 짧고 표창원은 프로파일러가 아님,여기서 내가 말하는 프로파일러라 함은이수정같은 사람도 포함하는넓은 의미의 전반적인 범죄심리분석가가 아닌실제 경찰쪽에서 과정을 밟고 정식으로인정받은 사람을 말하는 것임실제로 프로파일러라는 단어 말고다른 공식적인 용어가 있는데 기억이 안남범죄심리분석관이던가 그럴거야표창원은 범죄심리전공도 아니고영국 유학 가서 공부한 것도 전반적인 수사 관련이지프로파일링은 아님실제 강력계 경험도 있지만 길지는 않음배상훈은 내가 말하는 공식 프로파일러가 맞음호 프로파일러라고 소개하는게 틀린 말은 아닌게프로파일러 양성과정 기는 맞음그런데 건강문제로 기에서 빠지고기인가 기에서 마침그런데 배상훈의 문제점은표창원처럼 경찰출신도 아니고석사인가 박사학위가 범죄와는 관련없는 사회심리학이고실제 경찰쪽에서 프로파일러로 일한 경력도 상당히 짧아그래서 자기음모론에 빠지거나현장에 맞지않는 뻘소리 할때가 많음참고로 권일용이 바로 호 프로파일러임경찰 현장경력도 상당히 길고울나라 프로파일러 과정 자체를 창조한 사람방송에 프로파일러라는 직함 달고 나오는 사람들중에이분이 진짜중에 진짜라고 보면 된자,배상훈은 기 프로파일러고 기는 수십명이 있음 배상훈의 경찰경력은 년이고 그중 년정도가 프로파일러 활동기간인데 이사람이 분석한게 체택된 건 건임  건기초상식 부분에서도 검찰한데 탈탈 털릴 수준의 능지임이게 맞는거 같아프로파일러라면 대표적으로 해결한 사건이 하나쯤은 있어야 맞지배상훈 걔는 진짜 후잡 그자체던데 논리가 엉성하고 객관적이지도 못하고 말도 잘못함그래놓고 맨날썩은 경찰현실 이지랄하지이게 맞는거 같아프로파일러라면 대표적으로 해결한 사건이 하나쯤은 있어야 맞지배상훈 걔는 진짜 후잡 그자체던데 논리가 엉성하고 객관적이지도 못하고 말도 잘못함배상훈은 기 프로파일러고 기는 수십명이 있음 배상훈의 경찰경력은 년이고 그중 년정도가 프로파일러 활동기간인데 이사람이 분석한게 체택된 건 건임  건기초상식 부분에서도 검찰한데 탈탈 털릴 수준의 능지임그래놓고 맨날썩은 경찰현실 이지랄하지
정세균 “고약한 日저놈들도쿄올림픽 보이콧해야”,의 버르장머리가 생각나는 워딩이네그래도 북돼지네 간악한 쪽바리 라던가 버르장머리에는 좀 못미치는 워딩인거 같음,지도자로써 감정적 워딩은 별로임 한나라의 지도자라면 문프님이나 여니님같은 고급진 워딩이 맞는거고 정세균은 지도자깜은 아니니까 뭐 저렇게 말할수 있겠지세균이 잘 한당우려와는 달리 아직까진 잘해주고 있는 듯새균맨 화이팅여니의원과 선의의 경쟁 응원중세균이 잘 한당우려와는 달리 아직까진 잘해주고 있는 듯멍충아 너나 행새균맨 화이팅여니의원과 선의의 경쟁 응원중지도자로써 감정적 워딩은 별로임 한나라의 지도자라면 문프님이나 여니님같은 고급진 워딩이 맞는거고 정세균은 지도자깜은 아니니까 뭐 저렇게 말할수 있겠지문프나 여니님 같은 화술의 달인이랑 비교하면 누구라도 잘난 사람 없엉 근데 솔직히 말발은 문프보다도 여니님이 원톱인거 같음문프는 문과 끝판왕답게 말솜씨보단 글솜씨가 더 있으신거 같고고약한  세균맨 워딩 좋으시네인상과 달리 그지사나 쪽본 대할 때 워딩은 날것 그자체임의 버르장머리 발언 생각나는 건 나 혼자말로 저렇게 자극하는거 그닥임정중하게 맥일 수 있는 게 중요하고 그러기 위해선 결국 이성적이고 합리적으로 대응하는게 최선이라는거 문프께서 보여주셨음이미 평창때 한반도기 사례가 버젓이 있는만큼 일본이 이 건을 가지고 고집부린다면 이걸 가만히 넘어갈수가 없음 제일 좋은 해결은 일본이 계속 막나가다 겉잡을 수 없어서 올림픽 취소를 결정하는 걸텐데 뭐 어찌됐건 이 문젠 반드시 해결봐야 됨글쎄총리때 일본에 경제재재 들어오고 얼마 안되서 일본에 마스크 지원하자고 그러다 여론안좋아져서 안보낼꺼라고 바로 말바꾸고 의대협에 시험은 없다하더니만 얼마 안지나서 시험치게 해주고 총리내려와선 그때 일본에 마스크 지원해줄꺼 후회한다 그러다가 이제는 또 모라그러는거임 대통령감은 절대 아닌거 같음벌써 네이버 까페에서는 선수들만 불쌍하다  선수들이 무슨죄냐  대 꼰대총리 둘이서 년간 올림픽 메달만 보고 인생바친  선수들 앞길 막는다 논리로 갈라치기 시전중이더라저 말줄임표에 뭐가 있는지 봐야겠다 기발새끼들이 따옴표랑 말줄임표로 잔대가리 굴리는거 하루이틀도 아니고
이번 한강 사건 반박에는 이 짤이 최고다 진짜로,이거만큼 팩트인게 없음정작 평택 노동자 사고사 한건 묻어버린 기레기들,싫은데요싫은데요
그알 공식카페 에서 그알불매하쟤,습스 그만봅시다 남양유업처럼 불매합시다 이래기,지들이 안봐도 볼사람 다 봄 딱 그쪽 극우 국짐당 지지 성향 애들만 타살로 믿는것  같던데 그것도 과학이여그건 꿀이네팝콘 아그작 아그작도랐 도랐 이새기야 죽고싶나그건 꿀이네팝콘 아그작 아그작지들이 안봐도 볼사람 다 봄 딱 그쪽 극우 국짐당 지지 성향 애들만 타살로 믿는것  같던데 그것도 과학이여서로박아라능지가 처참한 수준이더라이사람도 매수 쟤도 매수 쟤도 매수 하 진짜 힘내라 근데 사실  불매하면 우리도 좋지 아군이 아니니스브스에서 멀 팔아목희좌 역시 선견지명이스브스 불매하면 우리야 땡큐지 그 사람 빨아주는 방송이니 때가 되면 나올 각종 파일등을 미리 잠재우는듯하다 유투브도 못믿지만 스방송도 장사하는 방송 아닌가  누가 누굴똑같다고 봐
한강 사건 관련해서 유튭뽑는 야들 과거영상보면,대부분 이따구임,저것도 정치적 성향이 저래서 저런거라기보단  중장년층 조회수 빨려고 저지랄 하는거겠지이상하게 울 어무니는 극우유튭으로 한강 사건을 보더라내가 절대 보지말라고 얘기는 했는뎀안봐도 극우 렉카들초반 한강 시위영상에 중장년층 많던데  일단 뉴스처럼 보이는거는 죄다 빋는 사람들이 이리 많구나 싶더라안봐도 극우 렉카들저것도 정치적 성향이 저래서 저런거라기보단  중장년층 조회수 빨려고 저지랄 하는거겠지초반 한강 시위영상에 중장년층 많던데  일단 뉴스처럼 보이는거는 죄다 빋는 사람들이 이리 많구나 싶더라이상하게 울 어무니는 극우유튭으로 한강 사건을 보더라내가 절대 보지말라고 얘기는 했는뎀슬프지만몇일전 어무니랑 똑같네근데 그 중장년들 조회수 빨려는 놈들 정치적 성향이 거의 저러더라과거 영상 좀 보여주면서 이넘들 상종할 놈들 아니라고 말해주니까 그때부터 안보기 시작하시더라아침에는 뉴스공장 보이는 라디오 보고 점심에는 신의 한수 손정민 특집 보는 사람도 있는데 뭐
그알 한강 사건 친구  아버지 인터뷰,그래도 고소는 꼭 하시길,진짜 대인배라는 말 밖엔그래도 방구석 탐정단과 렉카충 금융치료는 꼭 해주세요진짜 양반임현명하시네 혼란스러운 상황에서도 상대에 대한 배려심도 끝까지 지키려고 했구만병원 피해 본 건 진짜 조지세요유족네 애비 보니까 가관 이더만 항문 전문의 한다면서 똥꼬부모 라고 멸층까지 만들고 낄낄대고그리고 돌아온 것진짜 양반임진짜 대인배라는 말 밖엔그래도 방구석 탐정단과 렉카충 금융치료는 꼭 해주세요현명하시네 혼란스러운 상황에서도 상대에 대한 배려심도 끝까지 지키려고 했구만병원 피해 본 건 진짜 조지세요이러면 고소 안하시겠네  대가를 치렀으면 좋겠는데하지만 영상조작하고 그걸로 돈버는 것들은 고소든 고발이든 해야 함그 영상에 속은게 바보스퍼운 짓이지만 금전적 손해까지 보는건 사기잖아 찾아와서 난리쳤다는 자들도 마찬가지로 고소해야 하고 행동에는 책임이 따른다는걸 보여줄 필요가 있어 다들 광기에 사로잡혀서 난리도 아니다 진짜 그래도 고소는 해주세요 제가 여러명 캡쳐해놨어요고인과 고인 아버지를 위해서 가만히 있었는 데가만히 있으면 가만히 있는다고 의심스럽다고 선동하면사람 어떻게 살까 싶음가만히 있으니 문재인 대통령처럼 공격을 당하는거야절대 가만히 있는게 답이 될 수 없다유족네 애비 보니까 가관 이더만 항문 전문의 한다면서 똥꼬부모 라고 멸층까지 만들고 낄낄대고블로그에 누가 똥꼬부모와 그 새키란 댓글 달았는데 답글로 감사합니다 웃음이 그딴소리할때 손절함제정신인가 싶더라 그 전에도 주작증거 풀어놓고 즙이나 쳐 짜더니이따위 인간이 삼성 부장 밑에 사원들 취급 어따구로 헐지 안봐도 비디오네덕분에 삼성 이미지도 말아먹고 아주 잘하는 꼬라지야전에도 그알서 일베충 특잡때도 섬성다니는 벌래 하나 기어나왔으니까 차피 이미지 조질게 있나 네입원 사아코 암원처럼 저인간도 업무성과만 괜찮으면 계석 쓰갰지그런적도 있었어 몰랐네 삼성 이미지 번 박살이네  방영헌지 몇년 됐는데 쌉 파오후 일베충 새끼가 티비 나와서 우리 일베선 다 벌래애요 저도 벌래고 피디님도 벌래고 대통형도 벌래애요 이  당당하게 해서 충격먹었다고역겨운 섹히들지들이 말하는 똥꼬 용도와 친구 부모님이 하시는 똥꼬와는 다른데저능아들 끼리 모여서 같은수준으로 노는거지우리 엄마가 호인이라고 하더라어른이시네요이런 분이 피해를 입는 상황이 안타깝다대인배네 손군 부모님은 고소할꺼 없지만 방구석 탐정들이랑 선넘은 애들은 결과 나오면 조용히 고소미 먹이면 되지 않을까
그알보고 생각난 요즘 전반적인 사회분위기 문제,,사실 어찌보면 유튜브 알고리즘이 진짜 위험한거지개인의 정보를 수집해서 관심사의 알고리즘만 뜨게 해서 계속 그 정보안에서 못벗어나게 루프를 돌리는거니깐인터넷으로 양질의 정보와 더불어 훨씬 더 많은 왜곡되고 쓰레기같은 정보도 몰려오기 때문한사람이 그 정보를 다 처리할 수 없으니 자기 좋은대로 취사선택하는거지확증편향같은건가웹  시대가 되고 더군다나 유튜브는 알고리즘에 따라 움직이기 때문에 이게 정말 한정된 극단적인 정보밖에 못접하게 만들게 됨그냥 존나 멍청한거지 타인을 이해할 이타주의같은것도 없고인터넷으로 양질의 정보와 더불어 훨씬 더 많은 왜곡되고 쓰레기같은 정보도 몰려오기 때문한사람이 그 정보를 다 처리할 수 없으니 자기 좋은대로 취사선택하는거지확증편향같은건가확증에 이르는 단계에 대한 설명인 듯 그 이후 편향되겠지웹  시대가 되고 더군다나 유튜브는 알고리즘에 따라 움직이기 때문에 이게 정말 한정된 극단적인 정보밖에 못접하게 만들게 됨사실 어찌보면 유튜브 알고리즘이 진짜 위험한거지개인의 정보를 수집해서 관심사의 알고리즘만 뜨게 해서 계속 그 정보안에서 못벗어나게 루프를 돌리는거니깐그래서 일부러 자기가 관심이 없고 보지못한 분야의 영상을 보려고 함트위터가 딱 그런 시스템이어서 방구석 여포들 양산했는데이제 유튜브가 그러고 있네  젊꼰이 많아지는 이유인가그냥 존나 멍청한거지 타인을 이해할 이타주의같은것도 없고토크멘터리 전쟁사에서 이미 배웠지 사람은 보고 싶은거만 보고 듣고 싶은거만 듣는다 사람은 자기 수준내로 생각을 한다커뮤니티 다 마찬가지 아니냐여기도 저기고 다른의견 말하면  너이색히 하면서 반대부터 죽어라 찍히는데 뭐인터넷으로 같은 생각을 하는 사람이 쉽게 모일 수 있어서 저런 현상이 더 쉽게 일어날 수 있나유튜브의 큰 역활을 하고 있지그래서 유튜브도 언론법으로 규제해야 함그리고 우리의 게으름이 이런사태를 부르잔아베스트에 있는 글만보고 아 그렇구나 하고 찿아보지 않잔아 물론 현명한 유게이들이 정보를 보고 찿고 알려 주지만순간 플라스틱으로 봤네말할수 있는 자유와 허위사실 유포의 중간에서 돈을버는 쓰레기들의 세상 이라는거지이게 정말 너무 심각해 이건 좋같은 기레기색히들과 커뮤니티 알바색히들의 영향이 큼 알바들이 커뮤니티 들어와서 가짜 정보로 현혹하니까 그걸 방어하면서 저런현상이 더 심화됐음옛날 군주정이나 인독재정권 시대보다 나아진게 없거나 오히려 더해졌네
이번 헬마 영상 댓글 보고 우려스럽네,물론 댓글여론이 국민의 여론까지는 아니지만 페미를 조질 수만 있다면 왕자같은 새끼들이 중심에 서도 상관없다는 놈들이댓을 많이 다는게 보이고왕자같은 놈이 중심이 되는걸 막아야 한다는 댓글이 있어도 왕자가 열심히 활동하는 동안 넌 뭐했는데 십선비새꺄 같은반응이 나오는걸 보면 한숨이 나온다,얘네들 쉴드랍시고 받아치는 논리가 이거임깽판 부리면 다 이것도 웃긴게 그 깽판이 본인들이 까던 민두노총과 같은 꿘 시키들과 뭐가 다르냐하면 욕하더라헬마 이번 영상 보면왕자같은 거 옹호하면 그게 나중에 청년 남성들 이미지 조지는 요인이 된다고 말했는데즉 세대 자체가 고립될 위험성이 있다는 걸 돌려서 말한거나 마찬가지 아닌가간단하게 설명하면 전라도 출신의 남자인데 은 폭동이다 세월호 쓰리섬 같은 같은 컨텐츠 조두순 출소 때 경찰차에 올라가서 짓밞아 대는 퍼포먼스 같은걸 해댔고 페미이슈에도 렉카질 종종 하던 새끼인데 페미 이슈 젊은층에 더 크게 대두되면서 본인의 과거 행적을 유튜브 나무위키에서나마 삭제한 후 신 남성연대 라는 유튜브 채널을 파면서 마치 남성인권을 위해 행동하는거마냥 지랄해대고 있는 놈임유투버랑 유투버 댓글 보면 세상 망했음메갈 초기에 페미들 반응이 딱 저랬지 않나유투버랑 유투버 댓글 보면 세상 망했음메갈 초기에 페미들 반응이 딱 저랬지 않나얘네들 쉴드랍시고 받아치는 논리가 이거임깽판 부리면 다 이것도 웃긴게 그 깽판이 본인들이 까던 민두노총과 같은 꿘 시키들과 뭐가 다르냐하면 욕하더라헬마 이번 영상 보면왕자같은 거 옹호하면 그게 나중에 청년 남성들 이미지 조지는 요인이 된다고 말했는데즉 세대 자체가 고립될 위험성이 있다는 걸 돌려서 말한거나 마찬가지 아닌가내가 우려하던거도 그런건데 왕자가 쓰레기여도 페미를 목소리 높여서 까는 컨텐츠로 마치 남성의 인권을 위해 활동하는거마냥 세탁을 해대니 일단 얘한테 힘을 실어줘야 한다는 듯한 말을 하는 놈들이 꽤 되더라구어 이거 내가 메갈이다 급의 썩은내가왕자가 누군데간단하게 설명하면 전라도 출신의 남자인데 은 폭동이다 세월호 쓰리섬 같은 같은 컨텐츠 조두순 출소 때 경찰차에 올라가서 짓밞아 대는 퍼포먼스 같은걸 해댔고 페미이슈에도 렉카질 종종 하던 새끼인데 페미 이슈 젊은층에 더 크게 대두되면서 본인의 과거 행적을 유튜브 나무위키에서나마 삭제한 후 신 남성연대 라는 유튜브 채널을 파면서 마치 남성인권을 위해 행동하는거마냥 지랄해대고 있는 놈임그런애들만 몰려와서 댓글 다니까헬마가 그정도 모를 사람은 아니고 롯자가 암만 나대봐야 과거 박재가 끝난 놈이라 오래 못갈거임그놈은 뭘 열심히 활동을 했길래 빨아줌 그게 더 신기하네신남성연대 좋아하는 반페미 모지리들 어차피 일베라서 왕자면 오히려 좋아할걸 정상적으로 연애하고 사는 사람들은 페미고 반페미고 관심없다일베 찌질이들이나 반페미에 열광하지나도 신남성연대가 뭔지 몰랐는데 주위에 일베 찌질이가 언급해서 알게됨 왕자가 거기 수장이라는것도 헬마덕에 알게 됐고행동력에 대해서는 할말 없이다들 쉬쉬 덮고 잇다가 곪아 터진거지제의 성재기임 사실상 한숨만 나옴 렉카를 방패로 삼고 싶어도 질이 좋아야 삼지 저렇게 질 나쁜 방패로 누가 싸우겠니 뭐 렉카 자체가 질 좋다는 게 있을 수 없는 일이긴 하지만렉카가 방패 역할을 하는 게 아니라 타깃을 무고한 사람으로 잡는 트롤러가 되면 그것만큼 위험한 게 없는데 저 새들은 스파이도 옹호할 새들인가스파이들이 원래 적극적이라 실제 본인 팀 토벌에 적극적인 척 하는데 그걸 속아넘어가는 들 때문에 미치겠어요결국 헬마 영상은 공론을 회복하고 정치를 통해 의사를 표출해야 한다는 지극히 원론적인 이야기인데 이런 이야기조차 안먹히는걸 보니 진짜 단체로 미친건가 싶음
한강 대학생 사이버렉카 맹신의 진원지,그분이 부추김,가짜 뉴스도 표현의 자유라고 하신 분임지갓 머저리 새키가 먼 현장검증 엠병유튜브는 구글이 방치해서말할 자유는 있고 책임은 없음가짜 뉴스도 표현의 자유라고 하신 분임유튜브는 구글이 방치해서말할 자유는 있고 책임은 없음지갓 머저리 새키가 먼 현장검증 엠병
그알 시게 홈피 근황,분노의 트래픽 총공 들어갔네,방구석 탐정단들이야말로 작세네방구석 코난 아니다 방구석 노년 탐정들 방송국 쳐들어 갈려나 기레기와 사이버렉카들의 작품 그렇게 돈맛이 좋더냐방구석 브라운박사같은놈들방구석 탐정단들이야말로 작세네백수들로만 구성 되어있다면 몰라도 직장을 가지고 있는 인간들이 저러면 정말 아님 그렇게 돈맛이 좋더냐방구석 코난 아니다 방구석 노년 탐정들 방송국 쳐들어 갈려나 기레기와 사이버렉카들의 작품방구석 브라운박사같은놈들좌표 찍혔구만죽은 손씨의 친구 라는 사람은 다른 건 몰라도 유튜버들은 꼭 고소했으면 좋겠다확인되지 않은 걸 방송으로 내보내고 또 그걸로 돈 버는 행위는 이건 범죄야
그알손정민 사건에 이 분노한다더니,왠 시발 다 늙은것들만 분노하냐시발 결국은 문재인 정권이랑 엮을려던 거 맞네,저 늙은 것들도 아마 그 종교일 거임이미 구김당에서 모지리 한 놈이 덥썩 물었잖아 정작 하태경은 이 일에 관심도 없더만  맞음 한 몇십년전에년전 저 늙은 것들도 아마 그 종교일 거임이미 구김당에서 모지리 한 놈이 덥썩 물었잖아 정작 하태경은 이 일에 관심도 없더만  맞음 한 몇십년전에년전 청년층은 오히려 평택항에 관심있음한강 사건 렉카 새끼들 대부분 김웅 종이의 티비 신의 한수같은 극우 틀딱들이나 보는 유튜버들임혹시 취업 집값 코인 분노한다는 도 실상은  본인이나 그들 자식 아닐까 어제 베글보니 대부분 코인한다는 기렉 야당 커뮤 피셜과 달리 실제로는  퍼 정도만 한다고 집 많이샀다는 것도 실상을 알고보면 고가 다주택 안내놓으려는  부모들의 증여가 많기도 할거고
현재 그알 한강 사건 논조,정확하게 입수된 증거들과 증언들 그리고 여러 전문가들 다 내보내서 친구가 슬슬 무혐의같다는 느낌으로이야기하고있음이래도 안믿겠지 방구석 프파들은,이미 그알 안믿는다 햤던 것 같다저렇게까지 알려주는데 아직도 타살이라는인간들은 대체 뭔심리야모자이크 인터뷰 나오던데 노란 옷 입은 여자가 씨보고 자수하랜다미친인간들 할일 더럽게 없어 이미 사망자 아버지가 거른다고 했음팩트로 유튜버 존나 팸 이미 그알 안믿는다 햤던 것 같다저렇게까지 알려주는데 아직도 타살이라는인간들은 대체 뭔심리야모자이크 인터뷰 나오던데 노란 옷 입은 여자가 씨보고 자수하랜다미친인간들 할일 더럽게 없어 이미 사망자 아버지가 거른다고 했음오늘은 정부탓 안했나안함 유투브렉카들까는중  으아악 조작이다 조작이야기승전문재인 아니었어 볼 걸 그랬네팩트로 유튜버 존나 팸 오 왠일아까 그알보니 그러던데자수해라우린 유튜브 믿어요 유튜브만 믿어요
그니까 그알은 일단 손현씨 피꺼솟각이라는거지,뭐 대충 둘이 술 미친듯이 퍼먹고 일어난 사건이라는거,항상 저렇게 하다가 끝나기전 문재인정부 까는듯한 늬앙스로 마무리짖고는 하지일단 지금으로서는 타살설로 몰아가지는 않는것 같긴 하드라일단 지금으로서는 타살설로 몰아가지는 않는것 같긴 하드라항상 저렇게 하다가 끝나기전 문재인정부 까는듯한 늬앙스로 마무리짖고는 하지공원서 인터뷰 딴 인간들 다들 미친들
